morphology,word_form,gazetteers,position,lenght,context,pos,prefix_suffix,Balanced accuracy,Total entities,Entities correct,LOC correct,MISC correct,ORG correct,PER correct,Entities invented
True,True,True,True,True,True,False,True,0.7872636887570399,4324,0.7240980573543015,0.8036998972250771,0.4189189189189189,0.7057430432208407,0.7972085385878489,1031
True,True,True,True,False,True,False,True,0.7872636887570399,4324,0.7240980573543015,0.8036998972250771,0.4189189189189189,0.7057430432208407,0.7972085385878489,1031
True,True,True,True,True,True,True,True,0.7871872091703788,4324,0.7257169287696578,0.7934224049331963,0.4166666666666667,0.7098875074008288,0.80623973727422,1020
True,True,True,True,False,True,True,True,0.7871872091703788,4324,0.7257169287696578,0.7934224049331963,0.4166666666666667,0.7098875074008288,0.80623973727422,1020
True,True,True,True,True,True,True,False,0.7756066209416101,4324,0.7120721554116559,0.7934224049331963,0.38288288288288286,0.7010065127294257,0.7824302134646962,1080
True,True,True,True,False,True,True,False,0.7756066209416101,4324,0.7120721554116559,0.7934224049331963,0.38288288288288286,0.7010065127294257,0.7824302134646962,1080
True,True,True,True,True,True,False,False,0.7697537270564305,4324,0.7021276595744681,0.7882836587872559,0.3761261261261261,0.6939017169923032,0.7635467980295566,1108
True,True,True,True,False,True,False,False,0.7697537270564305,4324,0.7021276595744681,0.7882836587872559,0.3761261261261261,0.6939017169923032,0.7635467980295566,1108
True,True,True,True,True,False,True,True,0.7681816271133599,4324,0.7083718778908418,0.7913669064748201,0.4346846846846847,0.6856127886323268,0.7733990147783252,1078
True,True,True,True,False,False,True,True,0.7681816271133599,4324,0.7083718778908418,0.7913669064748201,0.4346846846846847,0.6856127886323268,0.7733990147783252,1078
True,True,True,True,True,False,False,True,0.7610191055703757,4324,0.696577243293247,0.7841726618705036,0.44144144144144143,0.6779159265837774,0.7454844006568144,1125
True,True,True,True,False,False,False,True,0.7610191055703757,4324,0.696577243293247,0.7841726618705036,0.44144144144144143,0.6779159265837774,0.7454844006568144,1125
True,True,True,True,True,False,True,False,0.7548817473620597,4324,0.6850138760407031,0.7667009249743063,0.4189189189189189,0.6832445233866193,0.7192118226600985,1228
True,True,True,True,False,False,True,False,0.7548817473620597,4324,0.6850138760407031,0.7667009249743063,0.4189189189189189,0.6832445233866193,0.7192118226600985,1228
True,True,True,True,True,False,False,False,0.740765928247017,4324,0.6614246068455134,0.7451181911613566,0.40765765765765766,0.6761397276494967,0.6666666666666666,1301
True,True,True,True,False,False,False,False,0.740765928247017,4324,0.6614246068455134,0.7451181911613566,0.40765765765765766,0.6761397276494967,0.6666666666666666,1301
